,0,1,2,3
323,11.9192,2.9664,-1.4192,1.0
324,11.9574,2.8812,-1.4192,0.0
325,11.9816,2.8536,-1.4192,0.0
326,12.024,2.8952,-1.4192,0.0
327,11.9745,2.8833,-1.4192,0.0
328,11.961,2.7187,-1.4192,0.0
329,11.9343,2.7577,-1.4192,0.0
330,12.0193,2.8406,-1.4192,0.0
331,11.9517,2.9765,-1.4192,1.0
332,11.9908,2.8892,-1.4192,0.0
333,12.021,2.9085,-1.4192,0.0
334,12.0004,2.8461,-1.4192,0.0
335,11.9471,2.8474,-1.4191,0.0
336,12.024,2.8162,-1.4191,0.0
337,11.9977,2.7037,-1.4191,0.0
338,11.94,2.9481,-1.4191,1.0
339,11.9974,2.9283,-1.4191,0.0
340,11.9602,2.6404,-1.4191,0.0
341,11.9818,2.9205,-1.4191,0.0
342,11.9837,2.9845,-1.4191,-1.0
343,12.0375,2.9105,-1.4191,0.0
344,11.9218,2.9516,-1.4191,1.0
345,11.9971,2.7055,-1.4191,0.0
346,11.9452,2.8568,-1.4191,0.0
347,11.9342,2.9722,-1.4191,1.0
348,11.9942,2.8705,-1.4191,0.0
349,12.032,2.9328,-1.4191,0.0
350,11.9415,2.6442,-1.4191,0.0
351,12.0327,2.8538,-1.4191,0.0
352,11.9763,2.8718,-1.4191,0.0
353,12.0103,2.8011,-1.4191,0.0
354,12.0354,2.8444,-1.4191,0.0
355,11.9736,2.8811,-1.4191,0.0
356,11.9205,2.7411,-1.4191,0.0
357,12.0341,2.9237,-1.4191,0.0
358,12.0111,2.7973,-1.4191,0.0
359,12.019,2.8386,-1.4191,0.0
360,11.9363,2.6702,-1.4191,0.0
361,11.9481,2.7707,-1.4191,0.0
362,12.0035,2.9023,-1.4191,0.0
363,11.9618,2.8608,-1.4191,0.0
364,11.9353,2.7484,-1.4191,0.0
365,11.9272,2.7111,-1.4191,0.0
366,12.0033,2.9042,-1.4191,0.0
367,12.0166,2.8499,-1.4191,0.0
368,11.9356,2.7505,-1.4191,0.0
369,11.9932,2.7971,-1.419,0.0
370,12.0444,2.8785,-1.419,0.0
371,11.9868,2.8982,-1.419,0.0
372,11.9527,2.6699,-1.419,0.0
373,11.987,2.8963,-1.419,0.0
374,12.007,2.8102,-1.419,0.0
375,11.9322,2.6071,-1.419,0.0
376,11.9711,2.6625,-1.419,0.0
377,11.9216,2.5754,-1.419,0.0
378,11.9491,2.6868,-1.419,0.0
379,11.9077,2.789,-1.419,0.0
380,11.9512,2.8995,-1.419,0.0
381,11.9191,2.9605,-1.419,1.0
382,12.0322,2.8556,-1.419,0.0
383,11.9983,2.6979,-1.419,0.0
384,11.9764,2.64,-1.419,0.0
385,11.9308,2.7667,-1.419,0.0
386,11.9293,2.8471,-1.419,0.0
387,11.9576,2.6458,-1.419,0.0
388,12.0259,2.8047,-1.419,0.0
389,12.0136,2.7839,-1.419,0.0
390,11.9312,2.7649,-1.419,0.0
391,11.8994,2.9694,-1.419,7.0
392,11.8968,2.9787,-1.419,7.0
393,11.9856,2.6753,-1.419,0.0
394,11.9495,2.685,-1.419,0.0
395,11.9488,2.761,-1.419,0.0
396,11.898,2.9751,-1.419,7.0
397,11.9662,2.9801,-1.419,1.0
398,11.9657,2.6886,-1.419,0.0
399,11.9299,2.8432,-1.419,0.0
400,12.0195,2.9061,-1.419,0.0
401,12.0532,2.9123,-1.419,0.0
402,11.9485,2.7629,-1.419,0.0
403,11.9254,2.8636,-1.419,0.0
404,11.9188,2.8857,-1.4189,0.0
405,11.9537,2.8843,-1.4189,0.0
406,11.9518,2.8918,-1.4189,0.0
